direction	condition	total	entropy_bits	relative_entropy	dominant	dominant_count	dominant_share	alternatives
next	g:1	245	0.0000	NaN	e:1	245	1.0000	e:1:245
next	l:1	24	0.0000	NaN	f:1	24	1.0000	f:1:24
next	m:1	41	0.1654	0.1654	c:1	40	0.9756	c:1:40 c:2:1
next	i:1	163	0.1861	0.1174	d:1	159	0.9755	d:1:159 c:1:3 c:2:1
next	k:1	47	0.2539	0.2539	f:1	45	0.9574	f:1:45 e:1:2
next	n:1	66	0.3790	0.2391	e:1	62	0.9394	e:1:62 c:2:3 c:1:1
next	b:1	156	0.7152	0.4513	c:1	130	0.8333	c:1:130 d:1:24 a:1:2
next	h:2	119	1.0543	0.4079	e:1	96	0.8067	e:1:96 c:1:13 n:1:4 f:1:3 c:2:2 a:1:1
next	h:1	23	1.2088	0.7627	e:1	12	0.5217	e:1:12 a:1:10 n:1:1
next	d:1	65	1.7197	0.6126	e:1	38	0.5846	e:1:38 g:1:15 c:1:7 n:1:2 f:1:1 k:1:1 l:1:1
next	c:2	33	1.8208	0.7044	g:1	15	0.4545	g:1:15 h:2:12 e:1:3 a:1:1 b:1:1 c:2:1
next	j:1	24	1.9029	0.8195	e:1	13	0.5417	e:1:13 a:1:3 c:1:3 d:1:3 n:1:2
next	c:1	498	2.0069	0.6331	a:1	215	0.4317	a:1:215 h:2:114 f:1:93 e:1:66 h:1:3 g:1:2 k:1:2 n:1:2 c:1:1
next	f:1	347	2.2457	0.7084	i:1	133	0.3833	i:1:133 j:1:88 f:1:54 k:1:42 l:1:21 e:1:4 c:1:3 a:1:1 n:1:1
next	a:1	338	2.3530	0.7423	e:1	113	0.3343	e:1:113 b:1:104 m:1:41 g:1:33 c:1:29 c:2:11 n:1:5 d:1:1 f:1:1
next	e:1	1062	2.8707	0.8008	c:1	242	0.2279	c:1:242 e:1:187 g:1:180 h:1:158 f:1:126 a:1:69 b:1:51 i:1:32 c:2:12 k:1:2 l:1:2 n:1:1
prev	j:1	88	0.0000	NaN	f:1	88	1.0000	f:1:88
prev	m:1	41	0.0000	NaN	a:1	41	1.0000	a:1:41
prev	h:1	161	0.1337	0.1337	e:1	158	0.9814	e:1:158 c:1:3
prev	h:2	126	0.4537	0.4537	c:1	114	0.9048	c:1:114 c:2:12
prev	k:1	47	0.6508	0.3254	f:1	42	0.8936	f:1:42 c:1:2 e:1:2 d:1:1
prev	l:1	24	0.6584	0.4154	f:1	21	0.8750	f:1:21 e:1:2 d:1:1
prev	i:1	165	0.7096	0.7096	f:1	133	0.8061	f:1:133 e:1:32
prev	d:1	187	0.7151	0.3576	i:1	159	0.8503	i:1:159 b:1:24 j:1:3 a:1:1
prev	b:1	156	0.9640	0.6082	a:1	104	0.6667	a:1:104 e:1:51 c:2:1
prev	a:1	302	1.1943	0.3981	c:1	215	0.7119	c:1:215 e:1:69 h:1:10 j:1:3 b:1:2 c:2:1 f:1:1 h:2:1
prev	g:1	245	1.2664	0.5454	e:1	180	0.7347	e:1:180 a:1:33 c:2:15 d:1:15 c:1:2
prev	c:1	472	1.9652	0.5681	e:1	242	0.5127	e:1:242 b:1:130 m:1:40 a:1:29 h:2:13 d:1:7 f:1:3 i:1:3 j:1:3 c:1:1 n:1:1
prev	c:2	31	2.1210	0.7555	e:1	12	0.3871	e:1:12 a:1:11 n:1:3 h:2:2 c:2:1 i:1:1 m:1:1
prev	f:1	347	2.2141	0.7380	e:1	126	0.3631	e:1:126 c:1:93 f:1:54 k:1:45 l:1:24 h:2:3 a:1:1 d:1:1
prev	n:1	18	2.7472	0.9157	a:1	5	0.2778	a:1:5 h:2:4 c:1:2 d:1:2 j:1:2 e:1:1 f:1:1 h:1:1
prev	e:1	841	2.7814	0.7758	g:1	245	0.2913	g:1:245 e:1:187 a:1:113 h:2:96 c:1:66 n:1:62 d:1:38 j:1:13 h:1:12 f:1:4 c:2:3 k:1:2
