actual	predicted	count
a:1	a:1	337
a:1	h:1	2
a:1	h:2	2
b:1	b:1	149
b:1	g:1	7
c:1	a:1	1
c:1	c:1	513
c:1	c:2	2
c:1	d:1	3
c:1	i:1	1
c:1	n:1	4
c:2	a:1	1
c:2	c:1	7
c:2	c:2	25
d:1	a:1	1
d:1	d:1	177
d:1	e:1	3
d:1	g:1	5
d:1	n:1	1
e:1	d:1	3
e:1	e:1	1065
e:1	h:2	1
f:1	f:1	345
f:1	h:2	2
f:1	l:1	1
g:1	b:1	6
g:1	d:1	4
g:1	g:1	235
h:1	h:1	158
h:1	h:2	1
h:1	i:1	2
h:2	a:1	6
h:2	f:1	1
h:2	h:2	119
i:1	b:1	2
i:1	i:1	163
j:1	h:1	2
j:1	i:1	3
j:1	j:1	83
k:1	b:1	1
k:1	k:1	46
l:1	l:1	24
m:1	b:1	2
m:1	d:1	3
m:1	g:1	1
m:1	m:1	35
n:1	c:1	3
n:1	d:1	3
n:1	e:1	2
n:1	f:1	1
n:1	h:1	3
n:1	h:2	1
n:1	i:1	2
n:1	j:1	4
n:1	n:1	47
