treatment	representation	scope	train_regions	test_regions	predicted_opportunities	skipped_question_opportunities	unseen_context_rate	normalized_log_loss	top1_accuracy	mean_observed_probability
original_keep_question	ATOMS	combined	144	65	1336	0	0.46182634730538924	0.8079217691095135	0.4296407185628742	0.13694822899620954
original_keep_question	ATOMS	f2r	144	42	852	0	0.4624413145539906	0.8099507419269398	0.43896713615023475	0.13519608278048645
original_keep_question	ATOMS	f2v	144	23	484	0	0.4607438016528926	0.804350106216029	0.4132231404958678	0.14003258555777398
original_keep_question	EVA	combined	139	65	597	0	0.6046901172529313	0.8927056812757962	0.2629815745393635	0.08894370461631342
original_keep_question	EVA	f2r	139	42	356	0	0.6376404494382022	0.8975758144477608	0.25280898876404495	0.08674687859528357
original_keep_question	EVA	f2v	139	23	241	0	0.5560165975103735	0.8855116256358817	0.27800829875518673	0.09218880861418147
exclude_question_regions	ATOMS	combined	137	65	1336	0	0.4625748502994012	0.809515776218366	0.4281437125748503	0.1356580157580173
exclude_question_regions	ATOMS	f2r	137	42	852	0	0.4636150234741784	0.8123391991940914	0.43661971830985913	0.13322860744153228
exclude_question_regions	ATOMS	f2v	137	23	484	0	0.4607438016528926	0.8045456184181229	0.4132231404958678	0.13993457750522045
exclude_question_regions	EVA	combined	132	65	597	0	0.6164154103852596	0.8964365424866233	0.254606365159129	0.08762055112775621
exclude_question_regions	EVA	f2r	132	42	356	0	0.6544943820224719	0.9039278223537198	0.23876404494382023	0.08451391465147191
exclude_question_regions	EVA	f2v	132	23	241	0	0.5601659751037344	0.885370585504522	0.27800829875518673	0.09220960749936122
question_non_evaluable	ATOMS	combined	144	65	1336	0	0.46182634730538924	0.8079217691095135	0.4296407185628742	0.13694822899620954
question_non_evaluable	ATOMS	f2r	144	42	852	0	0.4624413145539906	0.8099507419269398	0.43896713615023475	0.13519608278048645
question_non_evaluable	ATOMS	f2v	144	23	484	0	0.4607438016528926	0.804350106216029	0.4132231404958678	0.14003258555777398
question_non_evaluable	EVA	combined	139	65	597	0	0.6046901172529313	0.8927056812757962	0.2629815745393635	0.08894370461631342
question_non_evaluable	EVA	f2r	139	42	356	0	0.6376404494382022	0.8975758144477608	0.25280898876404495	0.08674687859528357
question_non_evaluable	EVA	f2v	139	23	241	0	0.5560165975103735	0.8855116256358817	0.27800829875518673	0.09218880861418147
