page	paragraph	line	locus	marker	source_loci	eva	raw
f3r	1	1	f3r.1,@P0	@P0	f3r.1,@P0	tsheos qopal chol cthol daimm	<%>tsheos.qopal.chol.cthol.daimm
f3r	1	2	f3r.2,+P0	+P0	f3r.2,+P0	ycheor chor dam qotcham cham	ycheor.chor.dam.qotcham.cham
f3r	1	3	f3r.3,+P0	+P0	f3r.3,+P0	ochor qocheor chol daiin cthy	ochor.qocheor.chol.daiin.cthy
f3r	1	4	f3r.4,+P0	+P0	f3r.4,+P0	schey chor chal cham cham cho	schey.chor.chal.cham.cham.cho
f3r	1	5	f3r.5,+P0	+P0	f3r.5,+P0	qokol chololy s cham cthol	qokol.chololy.s.cham.cthol
f3r	1	6	f3r.6,+P0	+P0	f3r.6,+P0	ychtaiin chor cthom otal dam	ychtaiin.chor.cthom.otal.dam
f3r	1	7	f3r.7,+P0	+P0	f3r.7,+P0	otchol qodaiin chom shom damo	otchol.qodaiin.chom.shom.damo
f3r	1	8	f3r.8,+P0	+P0	f3r.8,+P0	ysheor chor chol oky damo	ysheor.chor.chol.oky.damo
f3r	1	9	f3r.9,+P0	+P0	f3r.9,+P0	sho ?or sheoldam otchody ol	sho.?or.sheoldam.otchody.ol
f3r	1	10	f3r.10,+P0	+P0	f3r.10,+P0	ydas chol cthom	ydas.chol.cthom<$>
f3r	1	11	f3r.11,+P0	+P0	f3r.11,+P0	pcheol shol sols sheol shey	<%>pcheol.shol.sols.sheol.shey
f3r	1	12	f3r.12,+P0	+P0	f3r.12,+P0	okadaiin qokchor qoschodam octhy	okadaiin.qokchor.qoschodam.octhy
f3r	1	13	f3r.13,+P0	+P0	f3r.13,+P0	qokeey qot shey qokody qokchey cheody	qokeey.qot.shey.qokody.qokchey.cheody
f3r	1	14	f3r.14,+P0	+P0	f3r.14,+P0	chor qodair okeey qokeey	chor.qodair.okeey.qokeey<$>
f3r	1	15	f3r.15,+P0	+P0	f3r.15,+P0	tsheoarom shor or chor olchsy chom otchom oporar	<%>tsheoarom.shor.or.chor.olchsy.chom.otchom<->oporar
f3r	1	16	f3r.16,+P0	+P0	f3r.16,+P0	oteol chol s cheol ekshy qokeom qokol daiin soleeg	oteol.chol.s.cheol.ekshy.qokeom.qokol.daiin<->soleeg
f3r	1	17	f3r.17,+P0	+P0	f3r.17,+P0	soeom okeom yteody qokeeo dal sam	soeom.okeom.yteody.qokeeo.dal.sam<$>
f3r	1	18	f3r.18,+P0	+P0	f3r.18,+P0	pcheoldom shodaiin qopchor qopol opchol qoty otolom	<%>pcheoldom.shodaiin.qopchor.qopol.opchol.qoty<->otolom
f3r	1	19	f3r.19,+P0	+P0	f3r.19,+P0	otchor ol cheor qoeor dair qoteol qosaiin chor cthy	otchor.ol.cheor.qoeor.dair.qoteol.qosaiin<->chor.cthy
f3r	1	20	f3r.20,+P0	+P0	f3r.20,+P0	ycheor chol odaiin chol s aiin okolor am	ycheor.chol.odaiin.chol.s.aiin.okolor.am<$>
