folio	skeleton	slot_index	test_total	known_values	known_mass	clean_probability
f2r	e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	6	4	k:1 l:1	0.02670940170940171	5.089283449489205e-7
f2r	e:1 _ h:2 e:1 f:1 k:1 f:1 i:1 d:1	2	3	c:1 c:2	0.12713675213675213	0.0020550071533354183
f2r	e:1 c:1 h:2 e:1 f:1 k:1 f:1 _ d:1	8	3	i:1 j:1	0.08867521367521367	0.0006972792331074982
f2r	e:1 c:1 h:2 e:1 f:1 f:1 _ d:1	7	3	i:1 j:1	0.08867521367521367	0.0006972792331074982
f2r	e:1 c:1 h:2 e:1 f:1 l:1 f:1 _ d:1	8	1	i:1 j:1	0.08867521367521367	0.08867521367521367
f2r	e:1 g:1 e:1 e:1 _ f:1 i:1 d:1	5	1	f:1 c:1	0.24465811965811965	0.24465811965811965
f2r	n:1 e:1 g:1 e:1 _	5	1	c:1 e:1	0.40705128205128205	0.40705128205128205
f2r	e:1 c:1 h:2 e:1 g:1 e:1 e:1 _	8	1	h:1 c:1	0.17735042735042733	0.17735042735042733
f2v	e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	6	4	k:1 l:1	0.026415094339622643	4.868651226712289e-7
f2v	e:1 _ h:2 e:1 f:1 k:1 f:1 i:1 d:1	2	4	c:1 c:2	0.15471698113207547	0.0005729964497728338
f2v	e:1 c:1 h:2 e:1 f:1 k:1 f:1 _ d:1	8	4	i:1 j:1	0.07924528301886792	0.00003943607493636952
f2v	e:1 g:1 e:1 e:1 _ f:1 i:1 d:1	5	2	f:1 c:1	0.24528301886792453	0.06016375934496262
f2v	n:1 e:1 g:1 e:1 _	5	1	c:1 e:1	0.46226415094339623	0.46226415094339623
f2v	_ e:1 g:1 e:1 e:1 h:1	1	1	n:1 c:1	0.16792452830188678	0.16792452830188678
f2v	n:1 e:1 g:1 e:1 e:1 _	6	1	h:1 c:1	0.1811320754716981	0.1811320754716981
